"task_id","phase","workstream","module_id","module","task","issue","recommendation","priority","effort","dependencies","acceptance_evidence","owner","status","reconciliation_status","evidence","basis","reconciled_at"
"UX-044B","Phase 4","Venue","VEN-10","Venue hiring and jobs","Implement the complete responsive workflow and all system states for Venue hiring and jobs.","Jobs, hiring board, applications, onboarding, and staff management are spread across several pages.","Use one venue workforce hub with tabs for openings, applicants, candidates, roster, schedule, and compliance.","P1","L","UX-044A,FND-020,FND-023,FND-026,FND-027,FND-034","A venue can complete job post → hire → onboarding → roster → shift without context switching.","","needs remediation","needs remediation","Canonical /venue/staff workforce hub connects jobs, hiring applications, onboarding, roster, scheduling, and assignment-backed Work Mode contracts.","The active vertical is connected; moderated job-to-shift acceptance remains.","2026-07-28"
"UX-044C","Phase 7","Venue","VEN-10","Venue hiring and jobs","Validate accessibility, mobile behavior, performance, telemetry, permissions, and recovery for Venue hiring and jobs.","Jobs, hiring board, applications, onboarding, and staff management are spread across several pages.","Use one venue workforce hub with tabs for openings, applicants, candidates, roster, schedule, and compliance.","P1","M","UX-044B,FND-040","Automated and manual evidence proves Venue hiring and jobs at 320px, tablet, desktop, keyboard, screen reader, slow network, empty data, error, and forbidden states.","","needs remediation","needs remediation","Canonical /venue/staff workforce hub connects jobs, hiring applications, onboarding, roster, scheduling, and assignment-backed Work Mode contracts.","The active vertical is connected; moderated job-to-shift acceptance remains.","2026-07-28"
"UX-045A","Phase 4","Venue","VEN-11","Venue scheduling and shifts","Confirm canonical user journey, route ownership, permissions, and object status model for Venue scheduling and shifts.","Several scheduling components use mock shifts or duplicate implementations.","Choose the canonical API-backed scheduler; add week/day views, availability, conflict checks, breaks, swap/drop, and notifications.","P1","M","FND-002,FND-007,FND-011","Approved journey map covers entry, orientation, start, validation, completion, recovery, and return for Venue scheduling and shifts.","","needs remediation","needs remediation","Canonical server-rendered Venue scheduler and authenticated venue-scoped shift/request APIs preserve persisted assignment and publication behavior.","Mock scheduler twins are outside canonical navigation; conflict/swap persona acceptance remains.","2026-07-28"
"UX-045B","Phase 4","Venue","VEN-11","Venue scheduling and shifts","Implement the complete responsive workflow and all system states for Venue scheduling and shifts.","Several scheduling components use mock shifts or duplicate implementations.","Choose the canonical API-backed scheduler; add week/day views, availability, conflict checks, breaks, swap/drop, and notifications.","P1","L","UX-045A,FND-020,FND-023,FND-026,FND-027,FND-034","Create/edit/delete/assign/publish/swap actions persist and show conflicts before publish.","","needs remediation","needs remediation","Canonical server-rendered Venue scheduler and authenticated venue-scoped shift/request APIs preserve persisted assignment and publication behavior.","Mock scheduler twins are outside canonical navigation; conflict/swap persona acceptance remains.","2026-07-28"
"UX-045C","Phase 7","Venue","VEN-11","Venue scheduling and shifts","Validate accessibility, mobile behavior, performance, telemetry, permissions, and recovery for Venue scheduling and shifts.","Several scheduling components use mock shifts or duplicate implementations.","Choose the canonical API-backed scheduler; add week/day views, availability, conflict checks, breaks, swap/drop, and notifications.","P1","M","UX-045B,FND-040","Automated and manual evidence proves Venue scheduling and shifts at 320px, tablet, desktop, keyboard, screen reader, slow network, empty data, error, and forbidden states.","","needs remediation","needs remediation","Canonical server-rendered Venue scheduler and authenticated venue-scoped shift/request APIs preserve persisted assignment and publication behavior.","Mock scheduler twins are outside canonical navigation; conflict/swap persona acceptance remains.","2026-07-28"
"UX-046A","Phase 4","Venue","VEN-12","Venue roles and permissions","Confirm canonical user journey, route ownership, permissions, and object status model for Venue roles and permissions.","Mock role/member surfaces remain beside real RBAC concepts.","Use role templates with explicit permission summaries, inherited scope, dangerous-action warnings, and audit history.","P1","M","FND-002,FND-007,FND-011","Approved journey map covers entry, orientation, start, validation, completion, recovery, and return for Venue roles and permissions.","","needs remediation","needs remediation","Central Venue permission contract, owner/team/staff/assignment resolution, permission catalog, finance/check-in capability enforcement, and hiring permission bridge.","Capability-aware controls are implemented; dangerous-action preview and audit-history acceptance remain.","2026-07-28"
"UX-046B","Phase 4","Venue","VEN-12","Venue roles and permissions","Implement the complete responsive workflow and all system states for Venue roles and permissions.","Mock role/member surfaces remain beside real RBAC concepts.","Use role templates with explicit permission summaries, inherited scope, dangerous-action warnings, and audit history.","P1","L","UX-046A,FND-020,FND-023,FND-026,FND-027,FND-034","Managers can preview exactly what a role can see and do before assignment.","","needs remediation","needs remediation","Central Venue permission contract, owner/team/staff/assignment resolution, permission catalog, finance/check-in capability enforcement, and hiring permission bridge.","Capability-aware controls are implemented; dangerous-action preview and audit-history acceptance remain.","2026-07-28"
"UX-046C","Phase 7","Venue","VEN-12","Venue roles and permissions","Validate accessibility, mobile behavior, performance, telemetry, permissions, and recovery for Venue roles and permissions.","Mock role/member surfaces remain beside real RBAC concepts.","Use role templates with explicit permission summaries, inherited scope, dangerous-action warnings, and audit history.","P1","M","UX-046B,FND-040","Automated and manual evidence proves Venue roles and permissions at 320px, tablet, desktop, keyboard, screen reader, slow network, empty data, error, and forbidden states.","","needs remediation","needs remediation","Central Venue permission contract, owner/team/staff/assignment resolution, permission catalog, finance/check-in capability enforcement, and hiring permission bridge.","Capability-aware controls are implemented; dangerous-action preview and audit-history acceptance remain.","2026-07-28"
"UX-047A","Phase 4","Venue","VEN-13","Venue documents and equipment","Confirm canonical user journey, route ownership, permissions, and object status model for Venue documents and equipment.","Duplicate document/equipment component trees and mock maintenance/rental data create trust risk.","Canonicalize document vault and asset registry; add upload progress, versioning, QR, custody, maintenance, and event reservations.","P1","M","FND-002,FND-007,FND-011","Approved journey map covers entry, orientation, start, validation, completion, recovery, and return for Venue documents and equipment.","","needs remediation","needs remediation","Canonical /venue/documents and /venue/equipment surfaces use venue-scoped records; duplicate dashboard twins redirect to canonical routes.","Active mock fallbacks are removed from canonical entry points; version/custody/maintenance persona acceptance remains.","2026-07-28"
"UX-047B","Phase 4","Venue","VEN-13","Venue documents and equipment","Implement the complete responsive workflow and all system states for Venue documents and equipment.","Duplicate document/equipment component trees and mock maintenance/rental data create trust risk.","Canonicalize document vault and asset registry; add upload progress, versioning, QR, custody, maintenance, and event reservations.","P1","L","UX-047A,FND-020,FND-023,FND-026,FND-027,FND-034","Every file/asset has owner, scope, status, history, and recovery path.","","needs remediation","needs remediation","Canonical /venue/documents and /venue/equipment surfaces use venue-scoped records; duplicate dashboard twins redirect to canonical routes.","Active mock fallbacks are removed from canonical entry points; version/custody/maintenance persona acceptance remains.","2026-07-28"
"UX-047C","Phase 7","Venue","VEN-13","Venue documents and equipment","Validate accessibility, mobile behavior, performance, telemetry, permissions, and recovery for Venue documents and equipment.","Duplicate document/equipment component trees and mock maintenance/rental data create trust risk.","Canonicalize document vault and asset registry; add upload progress, versioning, QR, custody, maintenance, and event reservations.","P1","M","UX-047B,FND-040","Automated and manual evidence proves Venue documents and equipment at 320px, tablet, desktop, keyboard, screen reader, slow network, empty data, error, and forbidden states.","","needs remediation","needs remediation","Canonical /venue/documents and /venue/equipment surfaces use venue-scoped records; duplicate dashboard twins redirect to canonical routes.","Active mock fallbacks are removed from canonical entry points; version/custody/maintenance persona acceptance remains.","2026-07-28"
"UX-048A","Phase 4","Venue","VEN-14","Venue site maps","Confirm canonical user journey, route ownership, permissions, and object status model for Venue site maps.","Site map creation is powerful but interaction density and legacy viewers raise usability risk.","Provide role-based edit/view modes, layer presets, accessible list fallback, version history, publish state, and mobile field view.","P1","M","FND-002,FND-007,FND-011","Approved journey map covers entry, orientation, start, validation, completion, recovery, and return for Venue site maps.","","needs remediation","needs remediation","Canonical shared site-map workspace, versioned map contracts, Venue-scoped access, field/list affordances, and site-map domain tests.","Canonical editor/viewer exists; keyboard alternative and mobile field acceptance remain.","2026-07-28"
"UX-048B","Phase 4","Venue","VEN-14","Venue site maps","Implement the complete responsive workflow and all system states for Venue site maps.","Site map creation is powerful but interaction density and legacy viewers raise usability risk.","Provide role-based edit/view modes, layer presets, accessible list fallback, version history, publish state, and mobile field view.","P1","L","UX-048A,FND-020,FND-023,FND-026,FND-027,FND-034","Editors can build safely; workers can quickly find assigned zones without learning the editor.","","needs remediation","needs remediation","Canonical shared site-map workspace, versioned map contracts, Venue-scoped access, field/list affordances, and site-map domain tests.","Canonical editor/viewer exists; keyboard alternative and mobile field acceptance remain.","2026-07-28"
"UX-048C","Phase 7","Venue","VEN-14","Venue site maps","Validate accessibility, mobile behavior, performance, telemetry, permissions, and recovery for Venue site maps.","Site map creation is powerful but interaction density and legacy viewers raise usability risk.","Provide role-based edit/view modes, layer presets, accessible list fallback, version history, publish state, and mobile field view.","P1","M","UX-048B,FND-040","Automated and manual evidence proves Venue site maps at 320px, tablet, desktop, keyboard, screen reader, slow network, empty data, error, and forbidden states.","","needs remediation","needs remediation","Canonical shared site-map workspace, versioned map contracts, Venue-scoped access, field/list affordances, and site-map domain tests.","Canonical editor/viewer exists; keyboard alternative and mobile field acceptance remain.","2026-07-28"
"UX-049A","Phase 4","Venue","VEN-15","Venue communications","Confirm canonical user journey, route ownership, permissions, and object status model for Venue communications.","Messages, team communication, announcements, and legacy mock threads overlap.","Use unified threads with event/team/booking context, recipients, attachments, read status, and escalation.","P1","M","FND-002,FND-007,FND-011","Approved journey map covers entry, orientation, start, validation, completion, recovery, and return for Venue communications.","","needs remediation","needs remediation","Canonical /venue/messages entry links booking/event contexts while legacy social/team communication routes are redirected or kept outside production navigation.","Active navigation converges on one inbox; attachment/read/escalation persona acceptance remains.","2026-07-28"
"UX-049B","Phase 4","Venue","VEN-15","Venue communications","Implement the complete responsive workflow and all system states for Venue communications.","Messages, team communication, announcements, and legacy mock threads overlap.","Use unified threads with event/team/booking context, recipients, attachments, read status, and escalation.","P1","L","UX-049A,FND-020,FND-023,FND-026,FND-027,FND-034","The same conversation is reachable from its operational context and the central inbox.","","needs remediation","needs remediation","Canonical /venue/messages entry links booking/event contexts while legacy social/team communication routes are redirected or kept outside production navigation.","Active navigation converges on one inbox; attachment/read/escalation persona acceptance remains.","2026-07-28"
"UX-049C","Phase 7","Venue","VEN-15","Venue communications","Validate accessibility, mobile behavior, performance, telemetry, permissions, and recovery for Venue communications.","Messages, team communication, announcements, and legacy mock threads overlap.","Use unified threads with event/team/booking context, recipients, attachments, read status, and escalation.","P1","M","UX-049B,FND-040","Automated and manual evidence proves Venue communications at 320px, tablet, desktop, keyboard, screen reader, slow network, empty data, error, and forbidden states.","","needs remediation","needs remediation","Canonical /venue/messages entry links booking/event contexts while legacy social/team communication routes are redirected or kept outside production navigation.","Active navigation converges on one inbox; attachment/read/escalation persona acceptance remains.","2026-07-28"
"UX-050A","Phase 4","Venue","VEN-16","Venue settings and integrations","Confirm canonical user journey, route ownership, permissions, and object status model for Venue settings and integrations.","Settings files exceed 2,000 lines and integrations include mock lists.","Split profile, operations, staff, ticketing, payments, integrations, notifications, and security; expose real connection health.","P1","M","FND-002,FND-007,FND-011","Approved journey map covers entry, orientation, start, validation, completion, recovery, and return for Venue settings and integrations.","","needs remediation","needs remediation","Canonical /venue/settings, real profile save contract, permission-aware public link, and legacy/mock integration entries removed from canonical navigation.","Save behavior and safe active routing exist; settings decomposition and live provider-health acceptance remain.","2026-07-28"
"UX-050B","Phase 4","Venue","VEN-16","Venue settings and integrations","Implement the complete responsive workflow and all system states for Venue settings and integrations.","Settings files exceed 2,000 lines and integrations include mock lists.","Split profile, operations, staff, ticketing, payments, integrations, notifications, and security; expose real connection health.","P1","L","UX-050A,FND-020,FND-023,FND-026,FND-027,FND-034","Changes show save status, permissions, effects, and safe disconnect behavior.","","needs remediation","needs remediation","Canonical /venue/settings, real profile save contract, permission-aware public link, and legacy/mock integration entries removed from canonical navigation.","Save behavior and safe active routing exist; settings decomposition and live provider-health acceptance remain.","2026-07-28"
"UX-050C","Phase 7","Venue","VEN-16","Venue settings and integrations","Validate accessibility, mobile behavior, performance, telemetry, permissions, and recovery for Venue settings and integrations.","Settings files exceed 2,000 lines and integrations include mock lists.","Split profile, operations, staff, ticketing, payments, integrations, notifications, and security; expose real connection health.","P1","M","UX-050B,FND-040","Automated and manual evidence proves Venue settings and integrations at 320px, tablet, desktop, keyboard, screen reader, slow network, empty data, error, and forbidden states.","","needs remediation","needs remediation","Canonical /venue/settings, real profile save contract, permission-aware public link, and legacy/mock integration entries removed from canonical navigation.","Save behavior and safe active routing exist; settings decomposition and live provider-health acceptance remain.","2026-07-28"
"UX-051A","Phase 5","Admin / Organization","ADM-01","Admin operations shell","Confirm canonical user journey, route ownership, permissions, and object status model for Admin operations shell.","Optimized sidebar is coherent, but global nav plus Admin header produces layered chrome and a high-density header.","Use one organization operations shell with compact account switcher, search, inbox, alerts, and contextual create.","P1","M","FND-002,FND-007,FND-011","Approved journey map covers entry, orientation, start, validation, completion, recovery, and return for Admin operations shell.","","needs remediation","needs remediation",".agents/admin-dashboard-builder, .agents/admin-feature-spec-builder, and .agents/admin-ui-wiring ledgers.","Substantial implementation exists; each audit task still requires current acceptance evidence.","2026-07-28"
"UX-051B","Phase 5","Admin / Organization","ADM-01","Admin operations shell","Implement the complete responsive workflow and all system states for Admin operations shell.","Optimized sidebar is coherent, but global nav plus Admin header produces layered chrome and a high-density header.","Use one organization operations shell with compact account switcher, search, inbox, alerts, and contextual create.","P1","L","UX-051A,FND-020,FND-023,FND-026,FND-027,FND-034","No duplicate global/admin navigation; active organization and scope remain visible.","","needs remediation","needs remediation",".agents/admin-dashboard-builder, .agents/admin-feature-spec-builder, and .agents/admin-ui-wiring ledgers.","Substantial implementation exists; each audit task still requires current acceptance evidence.","2026-07-28"
"UX-051C","Phase 7","Admin / Organization","ADM-01","Admin operations shell","Validate accessibility, mobile behavior, performance, telemetry, permissions, and recovery for Admin operations shell.","Optimized sidebar is coherent, but global nav plus Admin header produces layered chrome and a high-density header.","Use one organization operations shell with compact account switcher, search, inbox, alerts, and contextual create.","P1","M","UX-051B,FND-040","Automated and manual evidence proves Admin operations shell at 320px, tablet, desktop, keyboard, screen reader, slow network, empty data, error, and forbidden states.","","needs remediation","needs remediation",".agents/admin-dashboard-builder, .agents/admin-feature-spec-builder, and .agents/admin-ui-wiring ledgers.","Substantial implementation exists; each audit task still requires current acceptance evidence.","2026-07-28"
"UX-052A","Phase 5","Admin / Organization","ADM-02","Admin dashboard","Confirm canonical user journey, route ownership, permissions, and object status model for Admin dashboard.","Dashboard is customizable but includes mock/random and not-implemented widget paths.","Ship a curated default dashboard; only allow verified widgets; center exceptions, deadlines, approvals, and financial risk.","P1","M","FND-002,FND-007,FND-011","Approved journey map covers entry, orientation, start, validation, completion, recovery, and return for Admin dashboard.","","needs remediation","needs remediation",".agents/admin-dashboard-builder, .agents/admin-feature-spec-builder, and .agents/admin-ui-wiring ledgers.","Substantial implementation exists; each audit task still requires current acceptance evidence.","2026-07-28"
"UX-052B","Phase 5","Admin / Organization","ADM-02","Admin dashboard","Implement the complete responsive workflow and all system states for Admin dashboard.","Dashboard is customizable but includes mock/random and not-implemented widget paths.","Ship a curated default dashboard; only allow verified widgets; center exceptions, deadlines, approvals, and financial risk.","P1","L","UX-052A,FND-020,FND-023,FND-026,FND-027,FND-034","Every widget links to a real filtered destination and identifies data freshness.","","needs remediation","needs remediation",".agents/admin-dashboard-builder, .agents/admin-feature-spec-builder, and .agents/admin-ui-wiring ledgers.","Substantial implementation exists; each audit task still requires current acceptance evidence.","2026-07-28"
"UX-052C","Phase 7","Admin / Organization","ADM-02","Admin dashboard","Validate accessibility, mobile behavior, performance, telemetry, permissions, and recovery for Admin dashboard.","Dashboard is customizable but includes mock/random and not-implemented widget paths.","Ship a curated default dashboard; only allow verified widgets; center exceptions, deadlines, approvals, and financial risk.","P1","M","UX-052B,FND-040","Automated and manual evidence proves Admin dashboard at 320px, tablet, desktop, keyboard, screen reader, slow network, empty data, error, and forbidden states.","","needs remediation","needs remediation",".agents/admin-dashboard-builder, .agents/admin-feature-spec-builder, and .agents/admin-ui-wiring ledgers.","Substantial implementation exists; each audit task still requires current acceptance evidence.","2026-07-28"
"UX-053A","Phase 5","Admin / Organization","ADM-03","Organization and band hub","Confirm canonical user journey, route ownership, permissions, and object status model for Organization and band hub.","Admin vs Organization terminology and band persona behavior can confuse account context.","Label account context, managed organization, subtype, and permissions distinctly; tailor band hub without creating another account type.","P1","M","FND-002,FND-007,FND-011","Approved journey map covers entry, orientation, start, validation, completion, recovery, and return for Organization and band hub.","","needs remediation","needs remediation",".agents/admin-dashboard-builder, .agents/admin-feature-spec-builder, and .agents/admin-ui-wiring ledgers.","Substantial implementation exists; each audit task still requires current acceptance evidence.","2026-07-28"
"UX-053B","Phase 5","Admin / Organization","ADM-03","Organization and band hub","Implement the complete responsive workflow and all system states for Organization and band hub.","Admin vs Organization terminology and band persona behavior can confuse account context.","Label account context, managed organization, subtype, and permissions distinctly; tailor band hub without creating another account type.","P1","L","UX-053A,FND-020,FND-023,FND-026,FND-027,FND-034","Users always know which organization they act for and which permissions apply.","","needs remediation","needs remediation",".agents/admin-dashboard-builder, .agents/admin-feature-spec-builder, and .agents/admin-ui-wiring ledgers.","Substantial implementation exists; each audit task still requires current acceptance evidence.","2026-07-28"
"UX-053C","Phase 7","Admin / Organization","ADM-03","Organization and band hub","Validate accessibility, mobile behavior, performance, telemetry, permissions, and recovery for Organization and band hub.","Admin vs Organization terminology and band persona behavior can confuse account context.","Label account context, managed organization, subtype, and permissions distinctly; tailor band hub without creating another account type.","P1","M","UX-053B,FND-040","Automated and manual evidence proves Organization and band hub at 320px, tablet, desktop, keyboard, screen reader, slow network, empty data, error, and forbidden states.","","needs remediation","needs remediation",".agents/admin-dashboard-builder, .agents/admin-feature-spec-builder, and .agents/admin-ui-wiring ledgers.","Substantial implementation exists; each audit task still requires current acceptance evidence.","2026-07-28"
"UX-054A","Phase 5","Admin / Organization","ADM-04","Tours and tour planner","Confirm canonical user journey, route ownership, permissions, and object status model for Tours and tour planner.","Builder, planner, create, detail, events, and route optimization are split among large pages.","Create a resumable tour workspace: overview, route/stops, people, logistics, budget, tickets, advancing, day sheets, publish.","P1","M","FND-002,FND-007,FND-011","Approved journey map covers entry, orientation, start, validation, completion, recovery, and return for Tours and tour planner.","","needs remediation","needs remediation",".agents/admin-dashboard-builder, .agents/admin-feature-spec-builder, and .agents/admin-ui-wiring ledgers.","Substantial implementation exists; each audit task still requires current acceptance evidence.","2026-07-28"
"UX-054B","Phase 5","Admin / Organization","ADM-04","Tours and tour planner","Implement the complete responsive workflow and all system states for Tours and tour planner.","Builder, planner, create, detail, events, and route optimization are split among large pages.","Create a resumable tour workspace: overview, route/stops, people, logistics, budget, tickets, advancing, day sheets, publish.","P1","L","UX-054A,FND-020,FND-023,FND-026,FND-027,FND-034","Draft survives interruption; each stop shows completeness and blockers.","","needs remediation","needs remediation",".agents/admin-dashboard-builder, .agents/admin-feature-spec-builder, and .agents/admin-ui-wiring ledgers.","Substantial implementation exists; each audit task still requires current acceptance evidence.","2026-07-28"
"UX-054C","Phase 7","Admin / Organization","ADM-04","Tours and tour planner","Validate accessibility, mobile behavior, performance, telemetry, permissions, and recovery for Tours and tour planner.","Builder, planner, create, detail, events, and route optimization are split among large pages.","Create a resumable tour workspace: overview, route/stops, people, logistics, budget, tickets, advancing, day sheets, publish.","P1","M","UX-054B,FND-040","Automated and manual evidence proves Tours and tour planner at 320px, tablet, desktop, keyboard, screen reader, slow network, empty data, error, and forbidden states.","","needs remediation","needs remediation",".agents/admin-dashboard-builder, .agents/admin-feature-spec-builder, and .agents/admin-ui-wiring ledgers.","Substantial implementation exists; each audit task still requires current acceptance evidence.","2026-07-28"
"UX-055A","Phase 5","Admin / Organization","ADM-05","Admin events and event planner","Confirm canonical user journey, route ownership, permissions, and object status model for Admin events and event planner.","Event creation/detail/HQ are monolithic and duplicate management surfaces.","Use a lifecycle workspace with draft checklist, collaborators, venue/artist contracts, staffing, logistics, tickets, finance, and run-of-show.","P1","M","FND-002,FND-007,FND-011","Approved journey map covers entry, orientation, start, validation, completion, recovery, and return for Admin events and event planner.","","needs remediation","needs remediation",".agents/admin-dashboard-builder, .agents/admin-feature-spec-builder, and .agents/admin-ui-wiring ledgers.","Substantial implementation exists; each audit task still requires current acceptance evidence.","2026-07-28"
"UX-055B","Phase 5","Admin / Organization","ADM-05","Admin events and event planner","Implement the complete responsive workflow and all system states for Admin events and event planner.","Event creation/detail/HQ are monolithic and duplicate management surfaces.","Use a lifecycle workspace with draft checklist, collaborators, venue/artist contracts, staffing, logistics, tickets, finance, and run-of-show.","P1","L","UX-055A,FND-020,FND-023,FND-026,FND-027,FND-034","One event record powers every downstream view and highlights incomplete dependencies.","","needs remediation","needs remediation",".agents/admin-dashboard-builder, .agents/admin-feature-spec-builder, and .agents/admin-ui-wiring ledgers.","Substantial implementation exists; each audit task still requires current acceptance evidence.","2026-07-28"
"UX-055C","Phase 7","Admin / Organization","ADM-05","Admin events and event planner","Validate accessibility, mobile behavior, performance, telemetry, permissions, and recovery for Admin events and event planner.","Event creation/detail/HQ are monolithic and duplicate management surfaces.","Use a lifecycle workspace with draft checklist, collaborators, venue/artist contracts, staffing, logistics, tickets, finance, and run-of-show.","P1","M","UX-055B,FND-040","Automated and manual evidence proves Admin events and event planner at 320px, tablet, desktop, keyboard, screen reader, slow network, empty data, error, and forbidden states.","","needs remediation","needs remediation",".agents/admin-dashboard-builder, .agents/admin-feature-spec-builder, and .agents/admin-ui-wiring ledgers.","Substantial implementation exists; each audit task still requires current acceptance evidence.","2026-07-28"
"UX-056A","Phase 5","Admin / Organization","ADM-06","Advancing and day sheets","Confirm canonical user journey, route ownership, permissions, and object status model for Advancing and day sheets.","Advancing, day sheet, HQ, command center, and share flows need a single publication model.","Support draft, requested, received, reviewed, approved, published, acknowledged, and superseded states.","P1","M","FND-002,FND-007,FND-011","Approved journey map covers entry, orientation, start, validation, completion, recovery, and return for Advancing and day sheets.","","needs remediation","needs remediation",".agents/admin-dashboard-builder, .agents/admin-feature-spec-builder, and .agents/admin-ui-wiring ledgers.","Substantial implementation exists; each audit task still requires current acceptance evidence.","2026-07-28"
"UX-056B","Phase 5","Admin / Organization","ADM-06","Advancing and day sheets","Implement the complete responsive workflow and all system states for Advancing and day sheets.","Advancing, day sheet, HQ, command center, and share flows need a single publication model.","Support draft, requested, received, reviewed, approved, published, acknowledged, and superseded states.","P1","L","UX-056A,FND-020,FND-023,FND-026,FND-027,FND-034","Recipients can identify latest version, changes, required acknowledgement, and offline copy.","","needs remediation","needs remediation",".agents/admin-dashboard-builder, .agents/admin-feature-spec-builder, and .agents/admin-ui-wiring ledgers.","Substantial implementation exists; each audit task still requires current acceptance evidence.","2026-07-28"
"UX-056C","Phase 7","Admin / Organization","ADM-06","Advancing and day sheets","Validate accessibility, mobile behavior, performance, telemetry, permissions, and recovery for Advancing and day sheets.","Advancing, day sheet, HQ, command center, and share flows need a single publication model.","Support draft, requested, received, reviewed, approved, published, acknowledged, and superseded states.","P1","M","UX-056B,FND-040","Automated and manual evidence proves Advancing and day sheets at 320px, tablet, desktop, keyboard, screen reader, slow network, empty data, error, and forbidden states.","","needs remediation","needs remediation",".agents/admin-dashboard-builder, .agents/admin-feature-spec-builder, and .agents/admin-ui-wiring ledgers.","Substantial implementation exists; each audit task still requires current acceptance evidence.","2026-07-28"
"UX-057A","Phase 5","Admin / Organization","ADM-07","Admin calendar","Confirm canonical user journey, route ownership, permissions, and object status model for Admin calendar.","Calendar must aggregate tours, events, shifts, deadlines, holds, travel, and tasks without overload.","Add layers, saved views, timezone clarity, conflicts, filters by entity, and drill-down quick actions.","P1","M","FND-002,FND-007,FND-011","Approved journey map covers entry, orientation, start, validation, completion, recovery, and return for Admin calendar.","","needs remediation","needs remediation",".agents/admin-dashboard-builder, .agents/admin-feature-spec-builder, and .agents/admin-ui-wiring ledgers.","Substantial implementation exists; each audit task still requires current acceptance evidence.","2026-07-28"
"UX-057B","Phase 5","Admin / Organization","ADM-07","Admin calendar","Implement the complete responsive workflow and all system states for Admin calendar.","Calendar must aggregate tours, events, shifts, deadlines, holds, travel, and tasks without overload.","Add layers, saved views, timezone clarity, conflicts, filters by entity, and drill-down quick actions.","P1","L","UX-057A,FND-020,FND-023,FND-026,FND-027,FND-034","Users can answer who/what/where/when and detect conflicts without opening every item.","","needs remediation","needs remediation",".agents/admin-dashboard-builder, .agents/admin-feature-spec-builder, and .agents/admin-ui-wiring ledgers.","Substantial implementation exists; each audit task still requires current acceptance evidence.","2026-07-28"
"UX-057C","Phase 7","Admin / Organization","ADM-07","Admin calendar","Validate accessibility, mobile behavior, performance, telemetry, permissions, and recovery for Admin calendar.","Calendar must aggregate tours, events, shifts, deadlines, holds, travel, and tasks without overload.","Add layers, saved views, timezone clarity, conflicts, filters by entity, and drill-down quick actions.","P1","M","UX-057B,FND-040","Automated and manual evidence proves Admin calendar at 320px, tablet, desktop, keyboard, screen reader, slow network, empty data, error, and forbidden states.","","needs remediation","needs remediation",".agents/admin-dashboard-builder, .agents/admin-feature-spec-builder, and .agents/admin-ui-wiring ledgers.","Substantial implementation exists; each audit task still requires current acceptance evidence.","2026-07-28"
"UX-058A","Phase 5","Admin / Organization","ADM-08","Logistics hub","Confirm canonical user journey, route ownership, permissions, and object status model for Logistics hub.","The 1,315-line client and many specialized components mix live, mock, and orphan modules.","Use a shared context bar and consistent section pattern across transport, travel, equipment, backline, catering, comms, and maps.","P1","M","FND-002,FND-007,FND-011","Approved journey map covers entry, orientation, start, validation, completion, recovery, and return for Logistics hub.","","needs remediation","needs remediation",".agents/admin-dashboard-builder, .agents/admin-feature-spec-builder, and .agents/admin-ui-wiring ledgers.","Substantial implementation exists; each audit task still requires current acceptance evidence.","2026-07-28"
"UX-058B","Phase 5","Admin / Organization","ADM-08","Logistics hub","Implement the complete responsive workflow and all system states for Logistics hub.","The 1,315-line client and many specialized components mix live, mock, and orphan modules.","Use a shared context bar and consistent section pattern across transport, travel, equipment, backline, catering, comms, and maps.","P1","L","UX-058A,FND-020,FND-023,FND-026,FND-027,FND-034","Each logistics item has owner, event/stop, vendor, status, due date, cost, conflict, notes, and audit trail.","","needs remediation","needs remediation",".agents/admin-dashboard-builder, .agents/admin-feature-spec-builder, and .agents/admin-ui-wiring ledgers.","Substantial implementation exists; each audit task still requires current acceptance evidence.","2026-07-28"
"UX-058C","Phase 7","Admin / Organization","ADM-08","Logistics hub","Validate accessibility, mobile behavior, performance, telemetry, permissions, and recovery for Logistics hub.","The 1,315-line client and many specialized components mix live, mock, and orphan modules.","Use a shared context bar and consistent section pattern across transport, travel, equipment, backline, catering, comms, and maps.","P1","M","UX-058B,FND-040","Automated and manual evidence proves Logistics hub at 320px, tablet, desktop, keyboard, screen reader, slow network, empty data, error, and forbidden states.","","needs remediation","needs remediation",".agents/admin-dashboard-builder, .agents/admin-feature-spec-builder, and .agents/admin-ui-wiring ledgers.","Substantial implementation exists; each audit task still requires current acceptance evidence.","2026-07-28"
"UX-059A","Phase 5","Admin / Organization","ADM-09","Transport, flights, and lodging","Confirm canonical user journey, route ownership, permissions, and object status model for Transport, flights, and lodging.","Traveler, reservation, itinerary, and conflict data can become spreadsheet-like and error-prone.","Provide traveler matrix, itinerary timeline, manifests, rooming lists, import, exception queue, and change notifications.","P1","M","FND-002,FND-007,FND-011","Approved journey map covers entry, orientation, start, validation, completion, recovery, and return for Transport, flights, and lodging.","","needs remediation","needs remediation",".agents/admin-dashboard-builder, .agents/admin-feature-spec-builder, and .agents/admin-ui-wiring ledgers.","Substantial implementation exists; each audit task still requires current acceptance evidence.","2026-07-28"
